Id,Name,Price,Rating,Types,Hours,Address,Phone
1,Frita Batidos,1,4.6,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 11:00 AM – 11:00 PM', 'Tuesday: 11:00 AM – 11:00 PM', 'Wednesday: 11:00 AM – 11:00 PM', 'Thursday: 11:00 AM – 12:00 AM', 'Friday: 11:00 AM – 12:00 AM', 'Saturday: 11:00 AM – 12:00 AM', 'Sunday: 11:00 AM – 11:00 PM']","117 W Washington St, Ann Arbor, MI 48104, USA",+17347612882
2,Pacific Rim By Kana,1,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 5:30 – 9:30 PM', 'Tuesday: 5:30 – 9:30 PM', 'Wednesday: 5:30 – 9:30 PM', 'Thursday: 5:30 – 9:30 PM', 'Friday: 5:30 – 10:30 PM', 'Saturday: 5:30 – 10:30 PM', 'Sunday: 5:00 – 9:00 PM']","114 W Liberty Rd, Ann Arbor, MI 48104, USA",+17346629303
3,Gandy Dancer,2,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 11:00 AM – 10:00 PM', 'Tuesday: 11:00 AM – 10:00 PM', 'Wednesday: 11:00 AM – 10:00 PM', 'Thursday: 11:00 AM – 10:00 PM', 'Friday: 11:00 AM – 11:00 PM', 'Saturday: 3:30 – 11:00 PM', 'Sunday: 10:00 AM – 9:00 PM']","401 Depot St, Ann Arbor, MI 48104, USA",+17347690592
4,Sava's,2,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 9:00 AM – 12:00 AM', 'Tuesday: 9:00 AM – 12:00 AM', 'Wednesday: 9:00 AM – 12:00 AM', 'Thursday: 9:00 AM – 12:00 AM', 'Friday: 9:00 AM – 12:00 AM', 'Saturday: 8:00 AM – 12:00 AM', 'Sunday: 8:00 AM – 12:00 AM']","216 S State St, Ann Arbor, MI 48109, USA",+17346232233
5,Gratzi Ann Arbor,2,4.1,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 4:00 – 10:00 PM', 'Tuesday: 4:00 – 10:00 PM', 'Wednesday: 4:00 – 10:00 PM', 'Thursday: 4:00 – 10:00 PM', 'Friday: 4:00 – 11:00 PM', 'Saturday: 11:00 AM – 11:00 PM', 'Sunday: 10:30 AM – 9:00 PM']","326 S Main St, Ann Arbor, MI 48104, USA",+17346635555
6,Angelo's,2,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 6:00 AM – 3:00 PM', 'Tuesday: 6:00 AM – 3:00 PM', 'Wednesday: 6:00 AM – 3:00 PM', 'Thursday: 6:00 AM – 3:00 PM', 'Friday: 6:00 AM – 3:00 PM', 'Saturday: 6:00 AM – 2:00 PM', 'Sunday: 7:00 AM – 2:00 PM']","1100 Catherine St, Ann Arbor, MI 48104, USA",+17347618996
7,Café Zola,2,4.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 7:00 AM – 10:00 PM', 'Tuesday: 7:00 AM – 10:00 PM', 'Wednesday: 7:00 AM – 10:00 PM', 'Thursday: 7:00 AM – 10:00 PM', 'Friday: 7:00 AM – 11:00 PM', 'Saturday: 7:00 AM – 11:00 PM', 'Sunday: 7:00 AM – 10:00 PM']","112 W Washington St, Ann Arbor, MI 48104, USA",+17347692020
8,Vinology,2,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 4:00 – 11:00 PM', 'Tuesday: 4:00 – 11:00 PM', 'Wednesday: 4:00 – 11:00 PM', 'Thursday: 4:00 – 11:00 PM', 'Friday: 4:00 PM – 12:00 AM', 'Saturday: 10:00 AM – 12:00 AM', 'Sunday: 10:00 AM – 10:00 PM']","110 S Main St, Ann Arbor, MI 48104, USA",+17342229841
9,Taste Kitchen,2,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 5:00 – 10:00 PM', 'Tuesday: 5:00 – 10:00 PM', 'Wednesday: 5:00 – 10:00 PM', 'Thursday: 5:00 – 10:00 PM', 'Friday: 5:00 – 11:00 PM', 'Saturday: 5:00 – 11:00 PM', 'Sunday: 5:00 – 9:00 PM']","521 E Liberty St, Ann Arbor, MI 48104, USA",+17343694241
10,Mani Osteria and Bar,2,4.5,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: Closed', 'Tuesday: 11:30 AM – 10:00 PM', 'Wednesday: 11:30 AM – 10:00 PM', 'Thursday: 11:30 AM – 10:00 PM', 'Friday: 11:30 AM – 11:00 PM', 'Saturday: 12:00 – 11:00 PM', 'Sunday: 11:00 AM – 9:00 PM']","341 E Liberty St, Ann Arbor, MI 48104, USA",+17347696700
11,The Earle,2,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 5:00 – 9:00 PM', 'Tuesday: 5:00 – 9:00 PM', 'Wednesday: 5:00 – 9:00 PM', 'Thursday: 5:00 – 9:00 PM', 'Friday: 5:00 – 11:00 PM', 'Saturday: 5:45 – 11:00 PM', 'Sunday: 5:00 – 8:00 PM']","121 W Washington St, Ann Arbor, MI 48104, USA",+17349940211
12,Jerusalem Garden,2,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 11:00 AM – 9:00 PM', 'Tuesday: 11:00 AM – 9:00 PM', 'Wednesday: 11:00 AM – 9:00 PM', 'Thursday: 11:00 AM – 9:00 PM', 'Friday: 11:00 AM – 9:30 PM', 'Saturday: 11:00 AM – 9:30 PM', 'Sunday: Closed']","314 E Liberty St, Ann Arbor, MI 48104, USA",+17349955060
13,Zingerman's Roadhouse,2,4.3,"['cafe', 'bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 7:00 AM – 10:00 PM', 'Tuesday: 7:00 AM – 10:00 PM', 'Wednesday: 7:00 AM – 10:00 PM', 'Thursday: 7:00 AM – 10:00 PM', 'Friday: 7:00 AM – 11:00 PM', 'Saturday: 9:00 AM – 11:00 PM', 'Sunday: 9:00 AM – 9:00 PM']","2501 Jackson Ave, Ann Arbor, MI 48103, USA",+17346633663
14,Mediterrano,2,4.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 11:00 AM – 10:00 PM', 'Tuesday: 11:00 AM – 10:00 PM', 'Wednesday: 11:00 AM – 10:00 PM', 'Thursday: 11:00 AM – 10:00 PM', 'Friday: 11:00 AM – 10:00 PM', 'Saturday: 12:00 – 10:00 PM', 'Sunday: 12:00 – 9:00 PM']","2900 S State St, Ann Arbor, MI 48108, USA",+17343329700
15,Real Seafood Company Ann Arbor,3,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 11:30 AM – 10:00 PM', 'Tuesday: 11:30 AM – 10:00 PM', 'Wednesday: 11:30 AM – 10:00 PM', 'Thursday: 11:30 AM – 10:00 PM', 'Friday: 11:30 AM – 11:00 PM', 'Saturday: 11:30 AM – 11:00 PM', 'Sunday: 1:00 – 9:00 PM']","341 S Main St, Ann Arbor, MI 48104, USA",+17347695960
16,The Lunch Room,3,4.7,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 11:00 AM – 9:00 PM', 'Tuesday: 11:00 AM – 9:00 PM', 'Wednesday: 11:00 AM – 9:00 PM', 'Thursday: 11:00 AM – 9:00 PM', 'Friday: 11:00 AM – 9:00 PM', 'Saturday: 11:00 AM – 9:00 PM', 'Sunday: 10:00 AM – 3:00 PM']","407 N 5th Ave, Ann Arbor, MI 48104, USA",+17342248859
17,The Original Cottage Inn,3,4.4,"['bar', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 11:00 AM – 10:00 PM', 'Tuesday: 11:00 AM – 10:00 PM', 'Wednesday: 11:00 AM – 10:00 PM', 'Thursday: 11:00 AM – 11:00 PM', 'Friday: 11:00 AM – 11:00 PM', 'Saturday: 11:00 AM – 11:00 PM', 'Sunday: 11:00 AM – 9:00 PM']","512 E William St, Ann Arbor, MI 48104, USA",+17346633379
18,Afternoon Delight,2,4.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 8:00 AM – 3:00 PM', 'Tuesday: 8:00 AM – 3:00 PM', 'Wednesday: 8:00 AM – 3:00 PM', 'Thursday: 8:00 AM – 3:00 PM', 'Friday: 8:00 AM – 3:00 PM', 'Saturday: 8:00 AM – 3:00 PM', 'Sunday: 8:30 AM – 3:00 PM']","251 E Liberty St, Ann Arbor, MI 48104, USA",+17346657513
19,Aventura,2,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 3:00 PM – 12:00 AM', 'Tuesday: 3:00 PM – 12:00 AM', 'Wednesday: 3:00 PM – 12:00 AM', 'Thursday: 3:00 PM – 12:00 AM', 'Friday: 3:00 PM – 12:00 AM', 'Saturday: 12:00 PM – 12:00 AM', 'Sunday: 12:00 PM – 12:00 AM']","216 E Washington St, Ann Arbor, MI 48104, USA",+17343693153
20,NeoPapalis,2,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 11:00 AM – 11:00 PM', 'Tuesday: 11:00 AM – 11:00 PM', 'Wednesday: 11:00 AM – 11:00 PM', 'Thursday: 11:00 AM – 11:00 PM', 'Friday: 11:00 AM – 11:00 PM', 'Saturday: 11:00 AM – 11:00 PM', 'Sunday: 11:00 AM – 11:00 PM']","500 E William St, Ann Arbor, MI 48104, USA",+17349292227
21,Blue Tractor BBQ & Brewery,2,4.2,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 11:00 AM – 12:00 AM', 'Tuesday: 11:00 AM – 12:00 AM', 'Wednesday: 11:00 AM – 12:00 AM', 'Thursday: 11:00 AM – 2:00 AM', 'Friday: 11:00 AM – 2:00 AM', 'Saturday: 11:00 AM – 2:00 AM', 'Sunday: 12:00 PM – 12:00 AM']","207 E Washington St, Ann Arbor, MI 48104, USA",+17342224095
22,Weber's Restaurant & Boutique Hotel,2,4.4,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 6:30 AM – 1:00 AM', 'Tuesday: 6:30 AM – 1:00 AM', 'Wednesday: 6:30 AM – 1:00 AM', 'Thursday: 6:30 AM – 1:00 AM', 'Friday: 6:30 AM – 1:00 AM', 'Saturday: 6:30 AM – 1:00 AM', 'Sunday: 8:30 AM – 11:30 PM']","3050 Jackson Ave, Ann Arbor, MI 48103, USA",+17347692500
23,Ruth's Chris Steak House,2,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 4:30 – 11:00 PM', 'Tuesday: 4:30 – 11:00 PM', 'Wednesday: 4:30 – 11:00 PM', 'Thursday: 4:30 – 11:00 PM', 'Friday: 4:30 – 11:00 PM', 'Saturday: 4:30 – 11:00 PM', 'Sunday: 4:00 – 10:00 PM']","314 S 4th Ave, Ann Arbor, MI 48104, USA",+17345855155
24,Logan Restaurant,2,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: Closed', 'Tuesday: 5:00 – 10:00 PM', 'Wednesday: 5:00 – 10:00 PM', 'Thursday: 5:00 – 10:00 PM', 'Friday: 5:00 – 10:00 PM', 'Saturday: 5:00 – 10:00 PM', 'Sunday: Closed']","115 W Washington St, Ann Arbor, MI 48104, USA",+17343272312
25,Northside Grill,2,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 7:00 AM – 3:00 PM', 'Tuesday: 7:00 AM – 3:00 PM', 'Wednesday: 7:00 AM – 3:00 PM', 'Thursday: 7:00 AM – 3:00 PM', 'Friday: 7:00 AM – 3:00 PM', 'Saturday: 7:00 AM – 3:00 PM', 'Sunday: 7:00 AM – 3:00 PM']","1015 Broadway St, Ann Arbor, MI 48105, USA",+17349950965
26,Mikette Bistro and Bar,2,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: Closed', 'Tuesday: 11:30 AM – 10:00 PM', 'Wednesday: 11:30 AM – 10:00 PM', 'Thursday: 11:30 AM – 10:00 PM', 'Friday: 11:30 AM – 10:00 PM', 'Saturday: 12:00 – 10:00 PM', 'Sunday: 11:00 AM – 9:00 PM']","1759 Plymouth Rd, Ann Arbor, MI 48105, USA",+17344364363
27,Knight's Steakhouse,2,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 11:00 AM – 11:00 PM', 'Tuesday: 11:00 AM – 11:00 PM', 'Wednesday: 11:00 AM – 12:00 AM', 'Thursday: 11:00 AM – 12:00 AM', 'Friday: 11:00 AM – 12:00 AM', 'Saturday: 11:00 AM – 12:00 AM', 'Sunday: 11:00 AM – 11:00 PM']","600 E Liberty St, Ann Arbor, MI 48104, USA",+17348876899
28,Bell's Diner,2,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 6:30 AM – 8:30 PM', 'Tuesday: 6:30 AM – 8:30 PM', 'Wednesday: 6:30 AM – 8:30 PM', 'Thursday: 6:30 AM – 8:30 PM', 'Friday: 6:30 AM – 8:30 PM', 'Saturday: 6:30 AM – 8:30 PM', 'Sunday: 8:00 AM – 8:30 PM']","2167 W Stadium Blvd, Ann Arbor, MI 48103, USA",+17349950226
29,Carson's American Bistro,2,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 11:00 AM – 10:00 PM', 'Tuesday: 11:00 AM – 10:00 PM', 'Wednesday: 11:00 AM – 10:00 PM', 'Thursday: 11:00 AM – 10:00 PM', 'Friday: 11:00 AM – 11:00 PM', 'Saturday: 4:00 – 11:00 PM', 'Sunday: 12:00 – 9:00 PM']","2000 Commonwealth Blvd, Ann Arbor, MI 48105, USA",+17346220533
30,West End Grill,3,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: Closed', 'Tuesday: 5:00 – 9:30 PM', 'Wednesday: 5:00 – 9:30 PM', 'Thursday: 5:00 – 9:30 PM', 'Friday: 5:00 – 9:30 PM', 'Saturday: 5:00 – 9:30 PM', 'Sunday: Closed']","120 W Liberty Rd, Ann Arbor, MI 48104, USA",+17347476260
31,Melange,2,4.1,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 5:00 – 10:00 PM', 'Tuesday: 5:00 – 10:00 PM', 'Wednesday: 5:00 – 10:00 PM', 'Thursday: 5:00 – 10:00 PM', 'Friday: 5:00 – 11:00 PM', 'Saturday: 5:00 – 11:00 PM', 'Sunday: Closed']","312 S Main St, Ann Arbor, MI 48104, USA",+17342220202
32,Slurping Turtle,2,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 11:30 AM – 10:00 PM', 'Tuesday: 11:30 AM – 10:00 PM', 'Wednesday: 11:30 AM – 10:00 PM', 'Thursday: 11:30 AM – 10:00 PM', 'Friday: 11:30 AM – 11:00 PM', 'Saturday: 11:30 AM – 11:00 PM', 'Sunday: 11:30 AM – 10:00 PM']","608 E Liberty St, Ann Arbor, MI 48104, USA",+17348876868
33,Grange Kitchen & Bar,2,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 5:00 – 11:00 PM', 'Tuesday: 5:00 – 11:00 PM', 'Wednesday: 5:00 – 11:00 PM', 'Thursday: 5:00 – 11:00 PM', 'Friday: 5:00 PM – 1:00 AM', 'Saturday: 5:00 PM – 1:00 AM', 'Sunday: 10:00 AM – 3:00 PM']","118 W Liberty Rd, Ann Arbor, MI 48104, USA",+17349952107
34,Ann Arbor Restaurant Week,2,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 5:00 – 11:00 PM', 'Tuesday: 5:00 – 11:00 PM', 'Wednesday: 5:00 – 11:00 PM', 'Thursday: 5:00 – 11:00 PM', 'Friday: 5:00 PM – 1:00 AM', 'Saturday: 5:00 PM – 1:00 AM', 'Sunday: 10:00 AM – 3:00 PM']","15 Research Dr, Ann Arbor, MI 48103, USA",+17346687112
35,Black Pearl Ann Arbor,2,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 5:00 PM – 12:00 AM', 'Tuesday: 5:00 PM – 12:00 AM', 'Wednesday: 5:00 PM – 12:00 AM', 'Thursday: 5:00 PM – 1:00 AM', 'Friday: 5:00 PM – 1:00 AM', 'Saturday: 5:00 PM – 1:00 AM', 'Sunday: 5:00 PM – 12:00 AM']","302 S Main St, Ann Arbor, MI 48104, USA",+17342220400
36,Totoro,2,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 11:30 AM – 10:00 PM', 'Tuesday: 11:30 AM – 10:00 PM', 'Wednesday: 11:30 AM – 10:00 PM', 'Thursday: 11:30 AM – 10:00 PM', 'Friday: 11:30 AM – 10:00 PM', 'Saturday: 11:30 AM – 10:00 PM', 'Sunday: 12:00 – 10:00 PM']","2031, 215 S State St, Ann Arbor, MI 48104, United States",+17343023511
37,Paesano Restaurant,2,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 11:00 AM – 10:00 PM', 'Tuesday: 11:00 AM – 10:00 PM', 'Wednesday: 11:00 AM – 10:00 PM', 'Thursday: 11:00 AM – 10:00 PM', 'Friday: 11:00 AM – 11:00 PM', 'Saturday: 12:00 – 11:00 PM', 'Sunday: 12:00 – 10:00 PM']","3411 Washtenaw Ave, Ann Arbor, MI 48104, USA",+17349710484
38,Spencer,2,4.7,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 5:00 – 10:00 PM', 'Tuesday: Closed', 'Wednesday: 5:00 – 10:00 PM', 'Thursday: 5:00 – 10:00 PM', 'Friday: 5:00 – 11:00 PM', 'Saturday: 10:00 AM – 2:00 PM, 5:00 – 11:00 PM', 'Sunday: 10:00 AM – 2:00 PM, 5:00 – 10:00 PM']","113 E Liberty St, Ann Arbor, MI 48104, USA",+17343693979
39,Olive Garden Italian Restaurant,2,4.0,"['bar', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 11:00 AM – 10:00 PM', 'Tuesday: 11:00 AM – 10:00 PM', 'Wednesday: 11:00 AM – 10:00 PM', 'Thursday: 11:00 AM – 10:00 PM', 'Friday: 11:00 AM – 11:00 PM', 'Saturday: 11:00 AM – 11:00 PM', 'Sunday: 11:00 AM – 10:00 PM']","445 E Eisenhower Pkwy, Ann Arbor, MI 48108, USA",+17346636875
40,Miss Kim,2,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: Closed', 'Tuesday: 11:00 AM – 2:30 PM, 5:00 – 10:00 PM', 'Wednesday: 11:00 AM – 2:30 PM, 5:00 – 10:00 PM', 'Thursday: 11:00 AM – 2:30 PM, 5:00 – 10:00 PM', 'Friday: 11:00 AM – 2:30 PM, 5:00 – 10:00 PM', 'Saturday: 11:00 AM – 2:30 PM, 5:00 – 10:00 PM', 'Sunday: 11:00 AM – 2:30 PM, 5:00 – 9:00 PM']","415 N 5th Ave, Ann Arbor, MI 48104, USA",+17342750099
41,BRAVO Cucina Italiana,2,4.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 11:00 AM – 10:00 PM', 'Tuesday: 11:00 AM – 10:00 PM', 'Wednesday: 11:00 AM – 10:00 PM', 'Thursday: 11:00 AM – 10:00 PM', 'Friday: 11:00 AM – 10:00 PM', 'Saturday: 11:00 AM – 10:00 PM', 'Sunday: 11:00 AM – 9:00 PM']","760 Briarwood Cir, Ann Arbor, MI 48108, USA",+17347476200
42,Bigalora Wood Fired Cucina,2,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 11:00 AM – 10:00 PM', 'Tuesday: 11:00 AM – 10:00 PM', 'Wednesday: 11:00 AM – 10:00 PM', 'Thursday: 11:00 AM – 10:00 PM', 'Friday: 10:00 AM – 11:00 PM', 'Saturday: 10:00 AM – 11:00 PM', 'Sunday: 10:00 AM – 10:00 PM']","3050 Washtenaw Ave Suite 112, Ann Arbor, MI 48104, USA",+17349712442
43,Seva Ann Arbor,2,4.5,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 11:00 AM – 9:00 PM', 'Tuesday: 11:00 AM – 9:00 PM', 'Wednesday: 11:00 AM – 9:00 PM', 'Thursday: 11:00 AM – 9:00 PM', 'Friday: 11:00 AM – 9:00 PM', 'Saturday: 11:00 AM – 9:00 PM', 'Sunday: 11:00 AM – 9:00 PM']","2541 Jackson Ave, Ann Arbor, MI 48103, USA",+17346621111
44,Carlyle Grill,2,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 11:00 AM – 10:00 PM', 'Tuesday: 11:00 AM – 10:00 PM', 'Wednesday: 11:00 AM – 10:00 PM', 'Thursday: 11:00 AM – 10:00 PM', 'Friday: 11:00 AM – 11:00 PM', 'Saturday: 11:00 AM – 11:00 PM', 'Sunday: 11:00 AM – 10:00 PM']","3660 Jackson Rd, Ann Arbor, MI 48103, USA",+17342139800
